NO_OF_FRAMES	100
NO_OF_CAMERAS	10
NO_OF_MARKERS	0
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:06:25.233	197682.31693840
DATA_INCLUDED	3D
MARKER_NAMES
TRAJECTORY_TYPES
Frame	Time	
1	0.00000	
2	0.01000	
3	0.02000	
4	0.03000	
5	0.04000	
6	0.05000	
7	0.06000	
8	0.07000	
9	0.08000	
10	0.09000	
11	0.10000	
12	0.11000	
13	0.12000	
14	0.13000	
15	0.14000	
16	0.15000	
17	0.16000	
18	0.17000	
19	0.18000	
20	0.19000	
21	0.20000	
22	0.21000	
23	0.22000	
24	0.23000	
25	0.24000	
26	0.25000	
27	0.26000	
28	0.27000	
29	0.28000	
30	0.29000	
31	0.30000	
32	0.31000	
33	0.32000	
34	0.33000	
35	0.34000	
36	0.35000	
37	0.36000	
38	0.37000	
39	0.38000	
40	0.39000	
41	0.40000	
42	0.41000	
43	0.42000	
44	0.43000	
45	0.44000	
46	0.45000	
47	0.46000	
48	0.47000	
49	0.48000	
50	0.49000	
51	0.50000	
52	0.51000	
53	0.52000	
54	0.53000	
55	0.54000	
56	0.55000	
57	0.56000	
58	0.57000	
59	0.58000	
60	0.59000	
61	0.60000	
62	0.61000	
63	0.62000	
64	0.63000	
65	0.64000	
66	0.65000	
67	0.66000	
68	0.67000	
69	0.68000	
70	0.69000	
71	0.70000	
72	0.71000	
73	0.72000	
74	0.73000	
75	0.74000	
76	0.75000	
77	0.76000	
78	0.77000	
79	0.78000	
80	0.79000	
81	0.80000	
82	0.81000	
83	0.82000	
84	0.83000	
85	0.84000	
86	0.85000	
87	0.86000	
88	0.87000	
89	0.88000	
90	0.89000	
91	0.90000	
92	0.91000	
93	0.92000	
94	0.93000	
95	0.94000	
96	0.95000	
97	0.96000	
98	0.97000	
99	0.98000	
100	0.99000	
